Evaluation_Type,TOTAL_ENTRIES,CLOSE_MATCH,TOTAL_MORE_TR,TOTAL_LESS_TR,TOTAL_TRIPLES,FN,FP,TP,TN,ACC,R,P,F1
TOTAL,2433,0,494,1387,7405,2590,4815,0,0,0.000,0.000,0.000,0.000
SEEN,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
UNSEEN,2433,0,494,1387,7405,2590,4815,0,0,0.000,0.000,0.000,0.000
CATEGORY ARTIST,599,0,97,368,1907,729,1178,0,0,0.000,0.000,0.000,0.000
CATEGORY ATHLETE,428,0,102,220,1210,368,842,0,0,0.000,0.000,0.000,0.000
CATEGORY CELESTIALBODY,299,0,74,161,899,302,597,0,0,0.000,0.000,0.000,0.000
CATEGORY MEANOFTRANSPORTATION,548,0,120,317,1693,598,1095,0,0,0.000,0.000,0.000,0.000
CATEGORY POLITICIAN,559,0,101,321,1696,593,1103,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 1,544,0,494,0,1038,0,1038,0,0,0.000,NA,0.000,0.000
TRIPLES COUNT 2,503,0,0,1,1006,1,1005,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 3,532,0,0,532,1596,532,1064,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 4,505,0,0,505,2020,1010,1010,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 5,349,0,0,349,1745,1047,698,0,0,0.000,0.000,0.000,0.000
