Evaluation_Type,TOTAL_ENTRIES,CLOSE_MATCH,TOTAL_MORE_TR,TOTAL_LESS_TR,TOTAL_TRIPLES,FN,FP,TP,TN,ACC,R,P,F1
TOTAL,2433,61,308,554,7270,642,6389,239,0,0.033,0.271,0.036,0.064
SEEN,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
UNSEEN,2433,61,308,554,7270,642,6389,239,0,0.033,0.271,0.036,0.064
CATEGORY ARTIST,599,20,69,186,1887,220,1596,71,0,0.038,0.244,0.043,0.073
CATEGORY ATHLETE,428,18,40,79,1150,90,1025,35,0,0.030,0.280,0.033,0.059
CATEGORY CELESTIALBODY,299,0,21,84,847,103,744,0,0,0.000,0.000,0.000,0.000
CATEGORY MEANOFTRANSPORTATION,548,9,70,116,1657,130,1503,24,0,0.014,0.156,0.016,0.029
CATEGORY POLITICIAN,559,14,108,89,1729,99,1521,109,0,0.063,0.524,0.067,0.119
TRIPLES COUNT 1,544,53,15,0,560,0,507,53,0,0.095,1.000,0.095,0.173
TRIPLES COUNT 2,503,6,72,48,1089,48,1003,38,0,0.035,0.442,0.037,0.067
TRIPLES COUNT 3,532,2,90,117,1694,125,1497,72,0,0.043,0.365,0.046,0.082
TRIPLES COUNT 4,505,0,101,199,2139,213,1885,41,0,0.019,0.161,0.021,0.038
TRIPLES COUNT 5,349,0,30,190,1788,256,1497,35,0,0.020,0.120,0.023,0.038
