Evaluation_Type,TOTAL_ENTRIES,CLOSE_MATCH,TOTAL_MORE_TR,TOTAL_LESS_TR,TOTAL_TRIPLES,FN,FP,TP,TN,ACC,R,P,F1
TOTAL,2433,0,88,1522,6999,2879,4120,0,0,0.000,0.000,0.000,0.000
SEEN,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
UNSEEN,2433,0,88,1522,6999,2879,4120,0,0,0.000,0.000,0.000,0.000
CATEGORY ARTIST,599,0,23,407,1833,816,1017,0,0,0.000,0.000,0.000,0.000
CATEGORY ATHLETE,428,0,12,247,1120,420,700,0,0,0.000,0.000,0.000,0.000
CATEGORY CELESTIALBODY,299,0,14,181,839,338,501,0,0,0.000,0.000,0.000,0.000
CATEGORY MEANOFTRANSPORTATION,548,0,10,343,1583,664,919,0,0,0.000,0.000,0.000,0.000
CATEGORY POLITICIAN,559,0,29,344,1624,641,983,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 1,544,0,88,0,632,0,632,0,0,0.000,NA,0.000,0.000
TRIPLES COUNT 2,503,0,0,136,1006,136,870,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 3,532,0,0,532,1596,618,978,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 4,505,0,0,505,2020,1048,972,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 5,349,0,0,349,1745,1077,668,0,0,0.000,0.000,0.000,0.000
