Evaluation_Type,TOTAL_ENTRIES,CLOSE_MATCH,TOTAL_MORE_TR,TOTAL_LESS_TR,TOTAL_TRIPLES,FN,FP,TP,TN,ACC,R,P,F1
TOTAL,2433,10,162,934,7102,1218,5872,12,0,0.002,0.010,0.002,0.003
SEEN,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
UNSEEN,2433,10,162,934,7102,1218,5872,12,0,0.002,0.010,0.002,0.003
CATEGORY ARTIST,599,0,22,296,1841,408,1433,0,0,0.000,0.000,0.000,0.000
CATEGORY ATHLETE,428,0,16,129,1124,160,964,0,0,0.000,0.000,0.000,0.000
CATEGORY CELESTIALBODY,299,0,33,104,858,141,717,0,0,0.000,0.000,0.000,0.000
CATEGORY MEANOFTRANSPORTATION,548,6,50,206,1637,257,1374,6,0,0.004,0.023,0.004,0.007
CATEGORY POLITICIAN,559,4,41,199,1642,252,1384,6,0,0.004,0.023,0.004,0.007
TRIPLES COUNT 1,544,10,69,0,613,0,603,10,0,0.016,1.000,0.016,0.032
TRIPLES COUNT 2,503,0,68,77,1087,77,1010,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 3,532,0,11,132,1607,135,1472,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 4,505,0,4,412,2026,457,1568,1,0,0.000,0.002,0.001,0.001
TRIPLES COUNT 5,349,0,10,313,1769,549,1219,1,0,0.001,0.002,0.001,0.001
