Evaluation_Type,TOTAL_ENTRIES,CLOSE_MATCH,TOTAL_MORE_TR,TOTAL_LESS_TR,TOTAL_TRIPLES,FN,FP,TP,TN,ACC,R,P,F1
TOTAL,2433,60,351,548,7341,632,6479,230,0,0.031,0.267,0.034,0.061
SEEN,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
UNSEEN,2433,60,351,548,7341,632,6479,230,0,0.031,0.267,0.034,0.061
CATEGORY ARTIST,599,19,74,196,1902,243,1597,62,0,0.033,0.203,0.037,0.063
CATEGORY ATHLETE,428,17,39,74,1147,81,1022,44,0,0.038,0.352,0.041,0.074
CATEGORY CELESTIALBODY,299,0,58,70,901,80,821,0,0,0.000,0.000,0.000,0.000
CATEGORY MEANOFTRANSPORTATION,548,10,67,118,1657,128,1502,27,0,0.016,0.174,0.018,0.032
CATEGORY POLITICIAN,559,14,113,90,1734,100,1537,97,0,0.056,0.492,0.059,0.106
TRIPLES COUNT 1,544,56,15,0,563,0,506,57,0,0.101,1.000,0.101,0.184
TRIPLES COUNT 2,503,3,64,59,1081,59,987,35,0,0.032,0.372,0.034,0.063
TRIPLES COUNT 3,532,1,120,133,1738,142,1539,57,0,0.033,0.286,0.036,0.064
TRIPLES COUNT 4,505,0,117,164,2164,190,1921,53,0,0.024,0.218,0.027,0.048
TRIPLES COUNT 5,349,0,35,192,1795,241,1526,28,0,0.016,0.104,0.018,0.031
