Evaluation_Type,TOTAL_ENTRIES,CLOSE_MATCH,TOTAL_MORE_TR,TOTAL_LESS_TR,TOTAL_TRIPLES,FN,FP,TP,TN,ACC,R,P,F1
TOTAL,2433,6,189,749,7120,870,6230,20,0,0.003,0.022,0.003,0.006
SEEN,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
UNSEEN,2433,6,189,749,7120,870,6230,20,0,0.003,0.022,0.003,0.006
CATEGORY ARTIST,599,3,23,263,1833,333,1496,4,0,0.002,0.012,0.003,0.004
CATEGORY ATHLETE,428,0,32,99,1141,106,1035,0,0,0.000,0.000,0.000,0.000
CATEGORY CELESTIALBODY,299,0,16,114,842,127,715,0,0,0.000,0.000,0.000,0.000
CATEGORY MEANOFTRANSPORTATION,548,3,51,142,1630,165,1449,16,0,0.010,0.088,0.011,0.019
CATEGORY POLITICIAN,559,0,67,131,1674,139,1535,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 1,544,6,6,0,553,0,547,6,0,0.011,1.000,0.011,0.021
TRIPLES COUNT 2,503,0,59,99,1077,99,978,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 3,532,0,72,164,1673,172,1499,2,0,0.001,0.011,0.001,0.002
TRIPLES COUNT 4,505,0,41,245,2061,280,1772,9,0,0.004,0.031,0.005,0.009
TRIPLES COUNT 5,349,0,11,241,1756,319,1434,3,0,0.002,0.009,0.002,0.003
