Evaluation_Type,TOTAL_ENTRIES,CLOSE_MATCH,TOTAL_MORE_TR,TOTAL_LESS_TR,TOTAL_TRIPLES,FN,FP,TP,TN,ACC,R,P,F1
TOTAL,2433,7,37,1476,6950,2225,4671,58,0,0.008,0.025,0.012,0.017
SEEN,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
UNSEEN,2433,7,37,1476,6950,2225,4671,58,0,0.008,0.025,0.012,0.017
CATEGORY ARTIST,599,3,0,437,1810,766,1031,13,0,0.007,0.017,0.012,0.014
CATEGORY ATHLETE,428,0,15,216,1123,265,850,8,0,0.007,0.029,0.009,0.014
CATEGORY CELESTIALBODY,299,0,0,209,825,329,496,0,0,0.000,0.000,0.000,0.000
CATEGORY MEANOFTRANSPORTATION,548,4,4,344,1577,539,1024,14,0,0.009,0.025,0.013,0.018
CATEGORY POLITICIAN,559,0,18,270,1615,326,1270,23,0,0.014,0.066,0.018,0.028
TRIPLES COUNT 1,544,7,3,0,547,0,540,7,0,0.013,1.000,0.013,0.025
TRIPLES COUNT 2,503,0,6,407,1012,407,597,8,0,0.008,0.019,0.013,0.016
TRIPLES COUNT 3,532,0,13,365,1609,540,1058,11,0,0.007,0.020,0.010,0.014
TRIPLES COUNT 4,505,0,13,393,2033,685,1334,15,0,0.007,0.021,0.011,0.015
TRIPLES COUNT 5,349,0,2,311,1749,593,1142,17,0,0.010,0.028,0.015,0.019
