Evaluation_Type,TOTAL_ENTRIES,CLOSE_MATCH,TOTAL_MORE_TR,TOTAL_LESS_TR,TOTAL_TRIPLES,FN,FP,TP,TN,ACC,R,P,F1
TOTAL,2433,60,351,548,7346,624,6491,231,0,0.031,0.270,0.034,0.061
SEEN,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
UNSEEN,2433,60,351,548,7346,624,6491,231,0,0.031,0.270,0.034,0.061
CATEGORY ARTIST,599,20,74,194,1903,236,1602,65,0,0.034,0.216,0.039,0.066
CATEGORY ATHLETE,428,17,36,76,1144,82,1019,43,0,0.038,0.344,0.040,0.072
CATEGORY CELESTIALBODY,299,0,59,68,903,77,826,0,0,0.000,0.000,0.000,0.000
CATEGORY MEANOFTRANSPORTATION,548,9,66,123,1657,133,1499,25,0,0.015,0.158,0.016,0.030
CATEGORY POLITICIAN,559,14,116,87,1739,96,1545,98,0,0.056,0.505,0.060,0.107
TRIPLES COUNT 1,544,56,13,0,559,0,502,57,0,0.102,1.000,0.102,0.185
TRIPLES COUNT 2,503,3,61,61,1079,61,983,35,0,0.032,0.365,0.034,0.063
TRIPLES COUNT 3,532,1,122,141,1743,149,1535,59,0,0.034,0.284,0.037,0.065
TRIPLES COUNT 4,505,0,117,158,2164,182,1929,53,0,0.024,0.226,0.027,0.048
TRIPLES COUNT 5,349,0,38,188,1801,232,1542,27,0,0.015,0.104,0.017,0.030
