Evaluation_Type,TOTAL_ENTRIES,CLOSE_MATCH,TOTAL_MORE_TR,TOTAL_LESS_TR,TOTAL_TRIPLES,FN,FP,TP,TN,ACC,R,P,F1
TOTAL,2433,0,4,1746,6915,3098,3808,9,0,0.001,0.003,0.002,0.003
SEEN,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
UNSEEN,2433,0,4,1746,6915,3098,3808,9,0,0.001,0.003,0.002,0.003
CATEGORY ARTIST,599,0,0,467,1810,902,908,0,0,0.000,0.000,0.000,0.000
CATEGORY ATHLETE,428,0,0,294,1108,456,652,0,0,0.000,0.000,0.000,0.000
CATEGORY CELESTIALBODY,299,0,1,187,826,334,492,0,0,0.000,0.000,0.000,0.000
CATEGORY MEANOFTRANSPORTATION,548,0,2,385,1575,692,880,3,0,0.002,0.004,0.003,0.004
CATEGORY POLITICIAN,559,0,1,413,1596,714,876,6,0,0.004,0.008,0.007,0.007
TRIPLES COUNT 1,544,0,4,0,548,0,548,0,0,0.000,NA,0.000,0.000
TRIPLES COUNT 2,503,0,0,360,1006,360,637,9,0,0.009,0.024,0.014,0.018
TRIPLES COUNT 3,532,0,0,532,1596,632,964,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 4,505,0,0,505,2020,1052,968,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 5,349,0,0,349,1745,1054,691,0,0,0.000,0.000,0.000,0.000
