Evaluation_Type,TOTAL_ENTRIES,CLOSE_MATCH,TOTAL_MORE_TR,TOTAL_LESS_TR,TOTAL_TRIPLES,FN,FP,TP,TN,ACC,R,P,F1
TOTAL,2433,0,28,1509,6939,2726,4213,0,0,0.000,0.000,0.000,0.000
SEEN,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
UNSEEN,2433,0,28,1509,6939,2726,4213,0,0,0.000,0.000,0.000,0.000
CATEGORY ARTIST,599,0,4,414,1814,786,1028,0,0,0.000,0.000,0.000,0.000
CATEGORY ATHLETE,428,0,5,250,1113,398,715,0,0,0.000,0.000,0.000,0.000
CATEGORY CELESTIALBODY,299,0,8,174,833,315,518,0,0,0.000,0.000,0.000,0.000
CATEGORY MEANOFTRANSPORTATION,548,0,7,330,1580,614,966,0,0,0.000,0.000,0.000,0.000
CATEGORY POLITICIAN,559,0,4,341,1599,613,986,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 1,544,0,28,0,572,0,572,0,0,0.000,NA,0.000,0.000
TRIPLES COUNT 2,503,0,0,123,1006,123,883,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 3,532,0,0,532,1596,541,1055,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 4,505,0,0,505,2020,1015,1005,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 5,349,0,0,349,1745,1047,698,0,0,0.000,0.000,0.000,0.000
