Evaluation_Type,TOTAL_ENTRIES,CLOSE_MATCH,TOTAL_MORE_TR,TOTAL_LESS_TR,TOTAL_TRIPLES,FN,FP,TP,TN,ACC,R,P,F1
TOTAL,2433,0,62,1456,6973,2661,4312,0,0,0.000,0.000,0.000,0.000
SEEN,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
UNSEEN,2433,0,62,1456,6973,2661,4312,0,0,0.000,0.000,0.000,0.000
CATEGORY ARTIST,599,0,10,393,1820,756,1064,0,0,0.000,0.000,0.000,0.000
CATEGORY ATHLETE,428,0,8,237,1116,385,731,0,0,0.000,0.000,0.000,0.000
CATEGORY CELESTIALBODY,299,0,14,171,839,312,527,0,0,0.000,0.000,0.000,0.000
CATEGORY MEANOFTRANSPORTATION,548,0,15,323,1588,604,984,0,0,0.000,0.000,0.000,0.000
CATEGORY POLITICIAN,559,0,15,332,1610,604,1006,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 1,544,0,62,0,606,0,606,0,0,0.000,NA,0.000,0.000
TRIPLES COUNT 2,503,0,0,70,1006,70,936,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 3,532,0,0,532,1596,534,1062,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 4,505,0,0,505,2020,1010,1010,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 5,349,0,0,349,1745,1047,698,0,0,0.000,0.000,0.000,0.000
