Evaluation_Type,TOTAL_ENTRIES,CLOSE_MATCH,TOTAL_MORE_TR,TOTAL_LESS_TR,TOTAL_TRIPLES,FN,FP,TP,TN,ACC,R,P,F1
TOTAL,2433,6,74,1226,6994,1612,5322,62,0,0.009,0.037,0.012,0.018
SEEN,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
UNSEEN,2433,6,74,1226,6994,1612,5322,62,0,0.009,0.037,0.012,0.018
CATEGORY ARTIST,599,2,11,372,1821,554,1253,14,0,0.008,0.025,0.011,0.015
CATEGORY ATHLETE,428,0,24,134,1135,144,978,14,0,0.012,0.089,0.014,0.024
CATEGORY CELESTIALBODY,299,0,5,176,830,240,590,0,0,0.000,0.000,0.000,0.000
CATEGORY MEANOFTRANSPORTATION,548,4,9,316,1588,422,1156,10,0,0.006,0.023,0.009,0.013
CATEGORY POLITICIAN,559,0,25,228,1620,252,1345,24,0,0.015,0.087,0.018,0.029
TRIPLES COUNT 1,544,6,7,0,551,0,545,6,0,0.011,1.000,0.011,0.022
TRIPLES COUNT 2,503,0,9,292,1021,292,715,14,0,0.014,0.046,0.019,0.027
TRIPLES COUNT 3,532,0,31,304,1628,364,1257,7,0,0.004,0.019,0.006,0.009
TRIPLES COUNT 4,505,0,21,344,2043,502,1519,24,0,0.012,0.046,0.016,0.023
TRIPLES COUNT 5,349,0,6,286,1751,454,1286,11,0,0.006,0.024,0.008,0.012
