Evaluation_Type,TOTAL_ENTRIES,CLOSE_MATCH,TOTAL_MORE_TR,TOTAL_LESS_TR,TOTAL_TRIPLES,FN,FP,TP,TN,ACC,R,P,F1
TOTAL,2433,0,680,626,7740,760,6980,0,0,0.000,0.000,0.000,0.000
SEEN,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
UNSEEN,2433,0,680,626,7740,760,6980,0,0,0.000,0.000,0.000,0.000
CATEGORY ARTIST,599,0,97,228,1918,311,1607,0,0,0.000,0.000,0.000,0.000
CATEGORY ATHLETE,428,0,121,100,1235,110,1125,0,0,0.000,0.000,0.000,0.000
CATEGORY CELESTIALBODY,299,0,132,42,1017,45,972,0,0,0.000,0.000,0.000,0.000
CATEGORY MEANOFTRANSPORTATION,548,0,181,124,1806,140,1666,0,0,0.000,0.000,0.000,0.000
CATEGORY POLITICIAN,559,0,149,132,1764,154,1610,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 1,544,0,21,0,571,0,571,0,0,0.000,NA,0.000,0.000
TRIPLES COUNT 2,503,0,125,296,1196,296,900,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 3,532,0,316,90,1984,126,1858,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 4,505,0,199,87,2224,141,2083,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 5,349,0,19,153,1765,197,1568,0,0,0.000,0.000,0.000,0.000
