Evaluation_Type,TOTAL_ENTRIES,CLOSE_MATCH,TOTAL_MORE_TR,TOTAL_LESS_TR,TOTAL_TRIPLES,FN,FP,TP,TN,ACC,R,P,F1
TOTAL,2433,0,162,828,7081,1128,5953,0,0,0.000,0.000,0.000,0.000
SEEN,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
UNSEEN,2433,0,162,828,7081,1128,5953,0,0,0.000,0.000,0.000,0.000
CATEGORY ARTIST,599,0,20,295,1831,428,1403,0,0,0.000,0.000,0.000,0.000
CATEGORY ATHLETE,428,0,10,141,1118,175,943,0,0,0.000,0.000,0.000,0.000
CATEGORY CELESTIALBODY,299,0,41,75,866,98,768,0,0,0.000,0.000,0.000,0.000
CATEGORY MEANOFTRANSPORTATION,548,0,53,139,1632,176,1456,0,0,0.000,0.000,0.000,0.000
CATEGORY POLITICIAN,559,0,38,178,1634,251,1383,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 1,544,0,42,0,586,0,586,0,0,0.000,NA,0.000,0.000
TRIPLES COUNT 2,503,0,40,83,1051,83,968,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 3,532,0,46,241,1644,242,1402,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 4,505,0,32,259,2052,360,1692,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 5,349,0,2,245,1748,443,1305,0,0,0.000,0.000,0.000,0.000
