Evaluation_Type,TOTAL_ENTRIES,CLOSE_MATCH,TOTAL_MORE_TR,TOTAL_LESS_TR,TOTAL_TRIPLES,FN,FP,TP,TN,ACC,R,P,F1
TOTAL,2433,0,363,1052,7318,1433,5885,0,0,0.000,0.000,0.000,0.000
SEEN,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
UNSEEN,2433,0,363,1052,7318,1433,5885,0,0,0.000,0.000,0.000,0.000
CATEGORY ARTIST,599,0,58,315,1874,459,1415,0,0,0.000,0.000,0.000,0.000
CATEGORY ATHLETE,428,0,58,151,1170,186,984,0,0,0.000,0.000,0.000,0.000
CATEGORY CELESTIALBODY,299,0,63,114,902,157,745,0,0,0.000,0.000,0.000,0.000
CATEGORY MEANOFTRANSPORTATION,548,0,97,227,1681,309,1372,0,0,0.000,0.000,0.000,0.000
CATEGORY POLITICIAN,559,0,87,245,1691,322,1369,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 1,544,0,44,0,632,0,632,0,0,0.000,NA,0.000,0.000
TRIPLES COUNT 2,503,0,319,184,1325,184,1141,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 3,532,0,0,14,1596,28,1568,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 4,505,0,0,505,2020,523,1497,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 5,349,0,0,349,1745,698,1047,0,0,0.000,0.000,0.000,0.000
