Evaluation_Type,TOTAL_ENTRIES,CLOSE_MATCH,TOTAL_MORE_TR,TOTAL_LESS_TR,TOTAL_TRIPLES,FN,FP,TP,TN,ACC,R,P,F1
TOTAL,2433,0,326,738,7272,933,6333,6,0,0.001,0.006,0.001,0.002
SEEN,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
UNSEEN,2433,0,326,738,7272,933,6333,6,0,0.001,0.006,0.001,0.002
CATEGORY ARTIST,599,0,55,246,1874,338,1536,0,0,0.000,0.000,0.000,0.000
CATEGORY ATHLETE,428,0,57,102,1172,127,1045,0,0,0.000,0.000,0.000,0.000
CATEGORY CELESTIALBODY,299,0,57,70,885,87,798,0,0,0.000,0.000,0.000,0.000
CATEGORY MEANOFTRANSPORTATION,548,0,66,168,1647,197,1450,0,0,0.000,0.000,0.000,0.000
CATEGORY POLITICIAN,559,0,91,152,1694,184,1504,6,0,0.004,0.032,0.004,0.007
TRIPLES COUNT 1,544,0,13,0,557,0,557,0,0,0.000,NA,0.000,0.000
TRIPLES COUNT 2,503,0,78,108,1103,108,990,5,0,0.005,0.044,0.005,0.009
TRIPLES COUNT 3,532,0,151,167,1761,184,1577,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 4,505,0,82,214,2104,285,1819,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 5,349,0,2,249,1747,356,1390,1,0,0.001,0.003,0.001,0.001
