Evaluation_Type,TOTAL_ENTRIES,CLOSE_MATCH,TOTAL_MORE_TR,TOTAL_LESS_TR,TOTAL_TRIPLES,FN,FP,TP,TN,ACC,R,P,F1
TOTAL,2433,0,495,612,7470,763,6692,16,0,0.002,0.021,0.002,0.004
SEEN,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
UNSEEN,2433,0,495,612,7470,763,6692,16,0,0.002,0.021,0.002,0.004
CATEGORY ARTIST,599,0,51,237,1864,287,1571,6,0,0.003,0.020,0.004,0.006
CATEGORY ATHLETE,428,0,55,158,1167,221,946,0,0,0.000,0.000,0.000,0.000
CATEGORY CELESTIALBODY,299,0,98,41,928,42,886,0,0,0.000,0.000,0.000,0.000
CATEGORY MEANOFTRANSPORTATION,548,0,120,92,1710,97,1613,0,0,0.000,0.000,0.000,0.000
CATEGORY POLITICIAN,559,0,171,84,1801,116,1676,10,0,0.006,0.079,0.006,0.011
TRIPLES COUNT 1,544,0,75,0,622,0,622,0,0,0.000,NA,0.000,0.000
TRIPLES COUNT 2,503,0,128,115,1158,115,1041,2,0,0.002,0.017,0.002,0.003
TRIPLES COUNT 3,532,0,159,121,1766,130,1634,2,0,0.001,0.015,0.001,0.002
TRIPLES COUNT 4,505,0,95,169,2129,223,1902,4,0,0.002,0.018,0.002,0.004
TRIPLES COUNT 5,349,0,38,207,1795,295,1493,8,0,0.004,0.026,0.005,0.009
