Evaluation_Type,TOTAL_ENTRIES,CLOSE_MATCH,TOTAL_MORE_TR,TOTAL_LESS_TR,TOTAL_TRIPLES,FN,FP,TP,TN,ACC,R,P,F1
TOTAL,2433,0,308,883,7248,1075,6167,7,0,0.001,0.006,0.001,0.002
SEEN,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
UNSEEN,2433,0,308,883,7248,1075,6167,7,0,0.001,0.006,0.001,0.002
CATEGORY ARTIST,599,0,38,315,1848,436,1412,0,0,0.000,0.000,0.000,0.000
CATEGORY ATHLETE,428,0,43,124,1152,139,1013,0,0,0.000,0.000,0.000,0.000
CATEGORY CELESTIALBODY,299,0,79,78,917,90,827,0,0,0.000,0.000,0.000,0.000
CATEGORY MEANOFTRANSPORTATION,548,0,81,164,1664,181,1481,2,0,0.001,0.011,0.001,0.002
CATEGORY POLITICIAN,559,0,67,202,1667,229,1434,5,0,0.003,0.021,0.003,0.006
TRIPLES COUNT 1,544,0,47,0,594,0,594,0,0,0.000,NA,0.000,0.000
TRIPLES COUNT 2,503,0,90,197,1122,197,923,2,0,0.002,0.010,0.002,0.004
TRIPLES COUNT 3,532,0,171,165,1767,189,1578,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 4,505,0,0,172,2020,259,1761,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 5,349,0,0,349,1745,430,1311,5,0,0.003,0.011,0.004,0.006
