Evaluation_Type,TOTAL_ENTRIES,CLOSE_MATCH,TOTAL_MORE_TR,TOTAL_LESS_TR,TOTAL_TRIPLES,FN,FP,TP,TN,ACC,R,P,F1
TOTAL,2433,0,608,451,7585,527,7058,0,0,0.000,0.000,0.000,0.000
SEEN,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
UNSEEN,2433,0,608,451,7585,527,7058,0,0,0.000,0.000,0.000,0.000
CATEGORY ARTIST,599,0,79,205,1892,266,1626,0,0,0.000,0.000,0.000,0.000
CATEGORY ATHLETE,428,0,79,69,1188,75,1113,0,0,0.000,0.000,0.000,0.000
CATEGORY CELESTIALBODY,299,0,155,38,1006,40,966,0,0,0.000,0.000,0.000,0.000
CATEGORY MEANOFTRANSPORTATION,548,0,144,60,1738,61,1677,0,0,0.000,0.000,0.000,0.000
CATEGORY POLITICIAN,559,0,151,79,1761,85,1676,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 1,544,0,103,0,650,0,650,0,0,0.000,NA,0.000,0.000
TRIPLES COUNT 2,503,0,116,111,1147,111,1036,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 3,532,0,198,91,1822,94,1728,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 4,505,0,150,114,2179,151,2028,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 5,349,0,41,135,1787,171,1616,0,0,0.000,0.000,0.000,0.000
