Evaluation_Type,TOTAL_ENTRIES,CLOSE_MATCH,TOTAL_MORE_TR,TOTAL_LESS_TR,TOTAL_TRIPLES,FN,FP,TP,TN,ACC,R,P,F1
TOTAL,2433,0,543,1390,7454,3119,4335,0,0,0.000,0.000,0.000,0.000
SEEN,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
UNSEEN,2433,0,543,1390,7454,3119,4335,0,0,0.000,0.000,0.000,0.000
CATEGORY ARTIST,599,0,117,368,1927,829,1098,0,0,0.000,0.000,0.000,0.000
CATEGORY ATHLETE,428,0,116,220,1224,442,782,0,0,0.000,0.000,0.000,0.000
CATEGORY CELESTIALBODY,299,0,75,161,900,397,503,0,0,0.000,0.000,0.000,0.000
CATEGORY MEANOFTRANSPORTATION,548,0,120,321,1693,740,953,0,0,0.000,0.000,0.000,0.000
CATEGORY POLITICIAN,559,0,115,320,1710,711,999,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 1,544,0,543,0,1087,0,1087,0,0,0.000,NA,0.000,0.000
TRIPLES COUNT 2,503,0,0,4,1006,4,1002,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 3,532,0,0,532,1596,597,999,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 4,505,0,0,505,2020,1224,796,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 5,349,0,0,349,1745,1294,451,0,0,0.000,0.000,0.000,0.000
