Evaluation_Type,TOTAL_ENTRIES,CLOSE_MATCH,TOTAL_MORE_TR,TOTAL_LESS_TR,TOTAL_TRIPLES,FN,FP,TP,TN,ACC,R,P,F1
TOTAL,2433,1,121,1423,7032,2626,4405,1,0,0.000,0.000,0.000,0.000
SEEN,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
UNSEEN,2433,1,121,1423,7032,2626,4405,1,0,0.000,0.000,0.000,0.000
CATEGORY ARTIST,599,0,18,382,1828,743,1085,0,0,0.000,0.000,0.000,0.000
CATEGORY ATHLETE,428,1,32,229,1140,377,762,1,0,0.001,0.003,0.001,0.002
CATEGORY CELESTIALBODY,299,0,23,163,848,304,544,0,0,0.000,0.000,0.000,0.000
CATEGORY MEANOFTRANSPORTATION,548,0,21,322,1594,603,991,0,0,0.000,0.000,0.000,0.000
CATEGORY POLITICIAN,559,0,27,327,1622,599,1023,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 1,544,1,121,0,665,0,664,1,0,0.002,1.000,0.002,0.003
TRIPLES COUNT 2,503,0,0,37,1006,37,969,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 3,532,0,0,532,1596,532,1064,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 4,505,0,0,505,2020,1010,1010,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 5,349,0,0,349,1745,1047,698,0,0,0.000,0.000,0.000,0.000
