Evaluation_Type,TOTAL_ENTRIES,CLOSE_MATCH,TOTAL_MORE_TR,TOTAL_LESS_TR,TOTAL_TRIPLES,FN,FP,TP,TN,ACC,R,P,F1
TOTAL,2433,4,160,1215,7092,1889,5190,13,0,0.002,0.007,0.002,0.004
SEEN,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
UNSEEN,2433,4,160,1215,7092,1889,5190,13,0,0.002,0.007,0.002,0.004
CATEGORY ARTIST,599,1,30,361,1840,596,1242,2,0,0.001,0.003,0.002,0.002
CATEGORY ATHLETE,428,0,24,167,1134,227,907,0,0,0.000,0.000,0.000,0.000
CATEGORY CELESTIALBODY,299,0,6,198,831,394,437,0,0,0.000,0.000,0.000,0.000
CATEGORY MEANOFTRANSPORTATION,548,3,51,240,1636,329,1296,11,0,0.007,0.032,0.008,0.013
CATEGORY POLITICIAN,559,0,49,249,1651,343,1308,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 1,544,4,1,0,545,0,541,4,0,0.007,1.000,0.007,0.015
TRIPLES COUNT 2,503,0,12,390,1026,390,636,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 3,532,0,64,323,1668,576,1089,3,0,0.002,0.005,0.003,0.004
TRIPLES COUNT 4,505,0,70,247,2093,479,1609,5,0,0.002,0.010,0.003,0.005
TRIPLES COUNT 5,349,0,13,255,1760,444,1315,1,0,0.001,0.002,0.001,0.001
