Evaluation_Type,TOTAL_ENTRIES,CLOSE_MATCH,TOTAL_MORE_TR,TOTAL_LESS_TR,TOTAL_TRIPLES,FN,FP,TP,TN,ACC,R,P,F1
TOTAL,2433,63,331,538,7342,613,6472,257,0,0.035,0.295,0.038,0.068
SEEN,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
UNSEEN,2433,63,331,538,7342,613,6472,257,0,0.035,0.295,0.038,0.068
CATEGORY ARTIST,599,20,81,191,1916,229,1613,74,0,0.039,0.244,0.044,0.074
CATEGORY ATHLETE,428,19,32,57,1140,60,1045,35,0,0.031,0.368,0.032,0.060
CATEGORY CELESTIALBODY,299,0,25,89,857,104,753,0,0,0.000,0.000,0.000,0.000
CATEGORY MEANOFTRANSPORTATION,548,9,102,96,1710,110,1581,19,0,0.011,0.147,0.012,0.022
CATEGORY POLITICIAN,559,15,91,105,1719,110,1480,129,0,0.075,0.540,0.080,0.140
TRIPLES COUNT 1,544,57,19,0,568,0,511,57,0,0.100,1.000,0.100,0.182
TRIPLES COUNT 2,503,5,63,68,1083,68,978,37,0,0.034,0.352,0.036,0.066
TRIPLES COUNT 3,532,1,78,139,1695,149,1466,80,0,0.047,0.349,0.052,0.090
TRIPLES COUNT 4,505,0,104,181,2151,201,1908,42,0,0.020,0.173,0.022,0.038
TRIPLES COUNT 5,349,0,67,150,1845,195,1609,41,0,0.022,0.174,0.025,0.043
