Evaluation_Type,TOTAL_ENTRIES,CLOSE_MATCH,TOTAL_MORE_TR,TOTAL_LESS_TR,TOTAL_TRIPLES,FN,FP,TP,TN,ACC,R,P,F1
TOTAL,2433,19,174,632,7092,799,6260,34,0,0.005,0.041,0.005,0.010
SEEN,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
UNSEEN,2433,19,174,632,7092,799,6260,34,0,0.005,0.041,0.005,0.010
CATEGORY ARTIST,599,4,28,224,1838,305,1525,8,0,0.004,0.026,0.005,0.009
CATEGORY ATHLETE,428,2,23,82,1131,110,1019,2,0,0.002,0.018,0.002,0.004
CATEGORY CELESTIALBODY,299,2,13,90,838,106,724,8,0,0.010,0.070,0.011,0.019
CATEGORY MEANOFTRANSPORTATION,548,5,22,141,1599,157,1437,5,0,0.003,0.031,0.003,0.006
CATEGORY POLITICIAN,559,6,88,95,1686,121,1555,11,0,0.007,0.083,0.007,0.013
TRIPLES COUNT 1,544,19,15,0,559,0,540,19,0,0.034,1.000,0.034,0.066
TRIPLES COUNT 2,503,0,32,71,1042,71,965,6,0,0.006,0.078,0.006,0.011
TRIPLES COUNT 3,532,0,49,164,1645,172,1468,5,0,0.003,0.028,0.003,0.006
TRIPLES COUNT 4,505,0,63,205,2086,286,1797,4,0,0.002,0.014,0.002,0.004
TRIPLES COUNT 5,349,0,15,192,1760,270,1490,0,0,0.000,0.000,0.000,0.000
