Evaluation_Type,TOTAL_ENTRIES,CLOSE_MATCH,TOTAL_MORE_TR,TOTAL_LESS_TR,TOTAL_TRIPLES,FN,FP,TP,TN,ACC,R,P,F1
TOTAL,2433,14,240,676,7167,779,6308,80,0,0.011,0.093,0.013,0.022
SEEN,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
UNSEEN,2433,14,240,676,7167,779,6308,80,0,0.011,0.093,0.013,0.022
CATEGORY ARTIST,599,5,29,236,1839,299,1517,23,0,0.013,0.071,0.015,0.025
CATEGORY ATHLETE,428,1,40,90,1150,101,1041,8,0,0.007,0.073,0.008,0.014
CATEGORY CELESTIALBODY,299,0,9,99,834,111,723,0,0,0.000,0.000,0.000,0.000
CATEGORY MEANOFTRANSPORTATION,548,6,61,154,1643,168,1465,10,0,0.006,0.056,0.007,0.012
CATEGORY POLITICIAN,559,2,101,97,1701,100,1562,39,0,0.023,0.281,0.024,0.045
TRIPLES COUNT 1,544,11,32,0,576,0,565,11,0,0.019,1.000,0.019,0.037
TRIPLES COUNT 2,503,2,41,70,1057,70,964,23,0,0.022,0.247,0.023,0.043
TRIPLES COUNT 3,532,1,70,161,1671,167,1482,22,0,0.013,0.116,0.015,0.026
TRIPLES COUNT 4,505,0,81,226,2102,266,1826,10,0,0.005,0.036,0.005,0.009
TRIPLES COUNT 5,349,0,16,219,1761,276,1471,14,0,0.008,0.048,0.009,0.016
