Evaluation_Type,TOTAL_ENTRIES,CLOSE_MATCH,TOTAL_MORE_TR,TOTAL_LESS_TR,TOTAL_TRIPLES,FN,FP,TP,TN,ACC,R,P,F1
TOTAL,2433,60,353,549,7343,633,6480,230,0,0.031,0.267,0.034,0.061
SEEN,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
UNSEEN,2433,60,353,549,7343,633,6480,230,0,0.031,0.267,0.034,0.061
CATEGORY ARTIST,599,19,75,196,1903,243,1598,62,0,0.033,0.203,0.037,0.063
CATEGORY ATHLETE,428,17,39,74,1147,81,1022,44,0,0.038,0.352,0.041,0.074
CATEGORY CELESTIALBODY,299,0,59,70,903,80,823,0,0,0.000,0.000,0.000,0.000
CATEGORY MEANOFTRANSPORTATION,548,10,67,119,1657,129,1501,27,0,0.016,0.173,0.018,0.032
CATEGORY POLITICIAN,559,14,113,90,1733,100,1536,97,0,0.056,0.492,0.059,0.106
TRIPLES COUNT 1,544,56,15,0,563,0,506,57,0,0.101,1.000,0.101,0.184
TRIPLES COUNT 2,503,3,64,59,1081,59,987,35,0,0.032,0.372,0.034,0.063
TRIPLES COUNT 3,532,1,122,132,1741,141,1543,57,0,0.033,0.288,0.036,0.063
TRIPLES COUNT 4,505,0,117,166,2164,192,1919,53,0,0.024,0.216,0.027,0.048
TRIPLES COUNT 5,349,0,35,192,1794,241,1525,28,0,0.016,0.104,0.018,0.031
