Evaluation_Type,TOTAL_ENTRIES,CLOSE_MATCH,TOTAL_MORE_TR,TOTAL_LESS_TR,TOTAL_TRIPLES,FN,FP,TP,TN,ACC,R,P,F1
TOTAL,2433,0,691,621,7758,759,6999,0,0,0.000,0.000,0.000,0.000
SEEN,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
UNSEEN,2433,0,691,621,7758,759,6999,0,0,0.000,0.000,0.000,0.000
CATEGORY ARTIST,599,0,100,230,1923,314,1609,0,0,0.000,0.000,0.000,0.000
CATEGORY ATHLETE,428,0,121,98,1237,108,1129,0,0,0.000,0.000,0.000,0.000
CATEGORY CELESTIALBODY,299,0,133,41,1017,45,972,0,0,0.000,0.000,0.000,0.000
CATEGORY MEANOFTRANSPORTATION,548,0,185,119,1813,138,1675,0,0,0.000,0.000,0.000,0.000
CATEGORY POLITICIAN,559,0,152,133,1768,154,1614,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 1,544,0,20,0,571,0,571,0,0,0.000,NA,0.000,0.000
TRIPLES COUNT 2,503,0,126,296,1197,296,901,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 3,532,0,320,89,1992,130,1862,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 4,505,0,205,85,2232,139,2093,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 5,349,0,20,151,1766,194,1572,0,0,0.000,0.000,0.000,0.000
