Evaluation_Type,TOTAL_ENTRIES,CLOSE_MATCH,TOTAL_MORE_TR,TOTAL_LESS_TR,TOTAL_TRIPLES,FN,FP,TP,TN,ACC,R,P,F1
TOTAL,2433,0,555,1379,7620,2570,5050,0,0,0.000,0.000,0.000,0.000
SEEN,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
UNSEEN,2433,0,555,1379,7620,2570,5050,0,0,0.000,0.000,0.000,0.000
CATEGORY ARTIST,599,0,119,366,1966,726,1240,0,0,0.000,0.000,0.000,0.000
CATEGORY ATHLETE,428,0,117,219,1267,365,902,0,0,0.000,0.000,0.000,0.000
CATEGORY CELESTIALBODY,299,0,77,161,914,301,613,0,0,0.000,0.000,0.000,0.000
CATEGORY MEANOFTRANSPORTATION,548,0,121,316,1711,592,1119,0,0,0.000,0.000,0.000,0.000
CATEGORY POLITICIAN,559,0,121,317,1762,586,1176,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 1,544,0,543,0,1241,0,1241,0,0,0.000,NA,0.000,0.000
TRIPLES COUNT 2,503,0,12,0,1018,0,1018,0,0,0.000,NA,0.000,0.000
TRIPLES COUNT 3,532,0,0,525,1596,525,1071,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 4,505,0,0,505,2020,1004,1016,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 5,349,0,0,349,1745,1041,704,0,0,0.000,0.000,0.000,0.000
