Evaluation_Type,TOTAL_ENTRIES,CLOSE_MATCH,TOTAL_MORE_TR,TOTAL_LESS_TR,TOTAL_TRIPLES,FN,FP,TP,TN,ACC,R,P,F1
TOTAL,2433,81,127,718,7045,901,5942,202,0,0.029,0.183,0.033,0.056
SEEN,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
UNSEEN,2433,81,127,718,7045,901,5942,202,0,0.029,0.183,0.033,0.056
CATEGORY ARTIST,599,13,26,243,1836,318,1485,33,0,0.018,0.094,0.022,0.035
CATEGORY ATHLETE,428,17,14,78,1122,95,988,39,0,0.035,0.291,0.038,0.067
CATEGORY CELESTIALBODY,299,3,18,94,843,124,707,12,0,0.014,0.088,0.017,0.028
CATEGORY MEANOFTRANSPORTATION,548,25,20,168,1596,209,1320,67,0,0.042,0.243,0.048,0.081
CATEGORY POLITICIAN,559,23,49,135,1648,155,1442,51,0,0.031,0.248,0.034,0.060
TRIPLES COUNT 1,544,81,15,0,559,0,478,81,0,0.145,1.000,0.145,0.253
TRIPLES COUNT 2,503,0,19,50,1027,50,942,35,0,0.034,0.412,0.036,0.066
TRIPLES COUNT 3,532,0,47,187,1645,198,1417,30,0,0.018,0.132,0.021,0.036
TRIPLES COUNT 4,505,0,35,244,2057,305,1717,35,0,0.017,0.103,0.020,0.033
TRIPLES COUNT 5,349,0,11,237,1757,348,1388,21,0,0.012,0.057,0.015,0.024
