Evaluation_Type,TOTAL_ENTRIES,CLOSE_MATCH,TOTAL_MORE_TR,TOTAL_LESS_TR,TOTAL_TRIPLES,FN,FP,TP,TN,ACC,R,P,F1
TOTAL,2433,7,63,1358,6978,2051,4870,62,0,0.009,0.029,0.013,0.018
SEEN,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
UNSEEN,2433,7,63,1358,6978,2051,4870,62,0,0.009,0.029,0.013,0.018
CATEGORY ARTIST,599,3,4,421,1814,765,1025,24,0,0.013,0.030,0.023,0.026
CATEGORY ATHLETE,428,0,14,164,1123,196,921,7,0,0.006,0.034,0.008,0.012
CATEGORY CELESTIALBODY,299,0,3,202,828,322,506,0,0,0.000,0.000,0.000,0.000
CATEGORY MEANOFTRANSPORTATION,548,4,7,336,1583,500,1073,10,0,0.006,0.020,0.009,0.013
CATEGORY POLITICIAN,559,0,35,235,1630,268,1345,21,0,0.013,0.073,0.015,0.025
TRIPLES COUNT 1,544,7,5,0,550,0,543,7,0,0.013,1.000,0.013,0.025
TRIPLES COUNT 2,503,0,10,379,1019,379,630,10,0,0.010,0.026,0.016,0.019
TRIPLES COUNT 3,532,0,28,347,1624,542,1076,6,0,0.004,0.011,0.006,0.007
TRIPLES COUNT 4,505,0,17,342,2037,611,1417,11,0,0.005,0.018,0.008,0.011
TRIPLES COUNT 5,349,0,3,290,1748,519,1204,28,0,0.016,0.051,0.023,0.031
