Evaluation_Type,TOTAL_ENTRIES,CLOSE_MATCH,TOTAL_MORE_TR,TOTAL_LESS_TR,TOTAL_TRIPLES,FN,FP,TP,TN,ACC,R,P,F1
TOTAL,2433,78,251,667,7202,791,6222,190,0,0.026,0.194,0.030,0.051
SEEN,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
UNSEEN,2433,78,251,667,7202,791,6222,190,0,0.026,0.194,0.030,0.051
CATEGORY ARTIST,599,14,40,241,1866,302,1537,27,0,0.014,0.082,0.017,0.029
CATEGORY ATHLETE,428,18,30,71,1139,73,1032,34,0,0.030,0.318,0.032,0.058
CATEGORY CELESTIALBODY,299,2,20,99,847,110,724,13,0,0.015,0.106,0.018,0.030
CATEGORY MEANOFTRANSPORTATION,548,23,67,138,1655,172,1420,64,0,0.039,0.271,0.043,0.074
CATEGORY POLITICIAN,559,21,94,118,1695,134,1509,52,0,0.031,0.280,0.033,0.060
TRIPLES COUNT 1,544,78,16,0,560,0,482,78,0,0.139,1.000,0.139,0.245
TRIPLES COUNT 2,503,0,67,89,1078,89,950,39,0,0.036,0.305,0.039,0.070
TRIPLES COUNT 3,532,0,73,116,1675,126,1530,19,0,0.011,0.131,0.012,0.022
TRIPLES COUNT 4,505,0,75,213,2113,234,1848,31,0,0.015,0.117,0.016,0.029
TRIPLES COUNT 5,349,0,20,249,1776,342,1412,23,0,0.013,0.063,0.016,0.026
