Evaluation_Type,TOTAL_ENTRIES,CLOSE_MATCH,TOTAL_MORE_TR,TOTAL_LESS_TR,TOTAL_TRIPLES,FN,FP,TP,TN,ACC,R,P,F1
TOTAL,2433,0,744,920,7673,1301,6372,0,0,0.000,0.000,0.000,0.000
SEEN,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
UNSEEN,2433,0,744,920,7673,1301,6372,0,0,0.000,0.000,0.000,0.000
CATEGORY ARTIST,599,0,143,276,1956,418,1538,0,0,0.000,0.000,0.000,0.000
CATEGORY ATHLETE,428,0,145,115,1253,155,1098,0,0,0.000,0.000,0.000,0.000
CATEGORY CELESTIALBODY,299,0,120,103,950,145,805,0,0,0.000,0.000,0.000,0.000
CATEGORY MEANOFTRANSPORTATION,548,0,182,213,1761,293,1468,0,0,0.000,0.000,0.000,0.000
CATEGORY POLITICIAN,559,0,154,213,1753,290,1463,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 1,544,0,535,0,1097,0,1097,0,0,0.000,NA,0.000,0.000
TRIPLES COUNT 2,503,0,209,0,1215,0,1215,0,0,0.000,NA,0.000,0.000
TRIPLES COUNT 3,532,0,0,66,1596,66,1530,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 4,505,0,0,505,2020,533,1487,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 5,349,0,0,349,1745,702,1043,0,0,0.000,0.000,0.000,0.000
