Evaluation_Type,TOTAL_ENTRIES,CLOSE_MATCH,TOTAL_MORE_TR,TOTAL_LESS_TR,TOTAL_TRIPLES,FN,FP,TP,TN,ACC,R,P,F1
TOTAL,2433,0,326,738,7272,929,6338,5,0,0.001,0.005,0.001,0.001
SEEN,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
UNSEEN,2433,0,326,738,7272,929,6338,5,0,0.001,0.005,0.001,0.001
CATEGORY ARTIST,599,0,55,243,1875,332,1543,0,0,0.000,0.000,0.000,0.000
CATEGORY ATHLETE,428,0,56,103,1172,128,1044,0,0,0.000,0.000,0.000,0.000
CATEGORY CELESTIALBODY,299,0,59,69,887,87,800,0,0,0.000,0.000,0.000,0.000
CATEGORY MEANOFTRANSPORTATION,548,0,68,166,1649,194,1455,0,0,0.000,0.000,0.000,0.000
CATEGORY POLITICIAN,559,0,88,157,1689,188,1496,5,0,0.003,0.026,0.003,0.006
TRIPLES COUNT 1,544,0,13,0,557,0,557,0,0,0.000,NA,0.000,0.000
TRIPLES COUNT 2,503,0,89,108,1113,108,1000,5,0,0.004,0.044,0.005,0.009
TRIPLES COUNT 3,532,0,147,162,1759,179,1580,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 4,505,0,74,212,2095,276,1819,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 5,349,0,3,256,1748,366,1382,0,0,0.000,0.000,0.000,0.000
